HIT ID,HITType ID,Document Names
386659BNTNGIQDNZTQK2HWCO3PF01H,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission8-agent0,question-mission65-agent0,question-mission20-agent0
324N5FAHSZA0PFA14XE974YD6RRVK6,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission27-agent3,question-mission66-agent0
374UMBUHN7O3TPUO7PXWI3XK4X2TCB,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission48-agent0,question-mission67-agent0
31YWE12TE2B4YP8CLIQIRKQCGIZX75,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission5-agent2,question-mission68-agent1,question-mission17-agent0
3QO7EE372QM7R4AQCL762EGF253QBN,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission54-agent0,question-mission69-agent0
341YLJU21KY0MTMBGK9MSJMPHPA2IV,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission63-agent0,question-mission70-agent0
3UQVX1UPFUGPFY5VCUKGMFMTVVT02Y,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission45-agent0,question-mission71-agent1,question-mission57-agent0,question-mission30-agent3
37NXA7GVSV5B9LSJPXQAM4BSVRWVL9,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission10-agent0,question-mission72-agent1,question-mission22-agent0
3EFNPKWBMUNE0G1EGUYL5PRL19T039,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission36-agent2,question-mission73-agent1
34F34TZU7YYWH46HY2UM4K1PU4Z2J7,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission59-agent0,question-mission74-agent0
33K3E8REWYU8Y3DVVNIO5KM7R25X8S,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission15-agent4,question-mission75-agent1,question-mission3-agent3
3XDSWAMB24RQ192WQL31DYMXKQ3QCU,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission40-agent0,question-mission76-agent1
3IKMEYR0LYURSOCZGNUY5Z129TZ2K6,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission51-agent1,question-mission77-agent0
337F8MIIM1CZICKIG834FUJRF9P04U,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission33-agent0,question-mission78-agent0
3QX22DUVOQGVF3A4P9RPMHQHVWMVMB,3PSRKXHSTTFKMLIIBF29B30I8PTJHF,question-mission34-agent0,question-mission79-agent0
