HIT ID,HITType ID,Document Names
3D1UCPY6GI8WI56HBYB0Y4X3KGX83E,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission59-agent4,question-mission80-agent0,question-mission42-agent7,question-mission66-agent0
38VTL6WC4CCEBQK32LXNCEJPRRQY57,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission45-agent7,question-mission81-agent0,question-mission69-agent0,question-mission5-agent0
30UZJB2POJBDVNNFD04XMKNCIQW357,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission25-agent2,question-mission82-agent0,question-mission52-agent7,question-mission11-agent0
32TMVRKDGPXH01PLBCGJ89P9YGT84Z,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission56-agent0,question-mission83-agent1,question-mission79-agent0,question-mission8-agent0
3XUSYT70IV0CI83B9J4XIYDXSVA0DH,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission34-agent1,question-mission84-agent0,question-mission14-agent0,question-mission48-agent6
3SD15I2WD4T9ERNTIJE2EQ1CEL736N,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission12-agent0,question-mission85-agent0,question-mission26-agent0,question-mission74-agent2
3Q9SPIIRWLL7SR1KIG6GZSEV8XRWAC,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission78-agent2,question-mission86-agent1,question-mission7-agent0,question-mission32-agent0
30EV7DWJTXUAUUKH747S4KXPNM1Y6N,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission67-agent2,question-mission87-agent1,question-mission43-agent0,question-mission3-agent3
3JGHED38EFQTYUYMQECKAYXLIXLY7M,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission58-agent4,question-mission88-agent1,question-mission41-agent0,question-mission65-agent2
3UL5XDRDNEIZWKTLPHZTD1VNYCO854,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission9-agent1,question-mission89-agent0,question-mission23-agent0,question-mission36-agent6
3BFNCI9LYMPSIR1Y1TJUK4189WR37M,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission68-agent0,question-mission90-agent1,question-mission20-agent3,question-mission44-agent6
3M47JKRKCZ0VFOTZU09Y579NU7Z86K,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission46-agent7,question-mission91-agent1,question-mission63-agent8,question-mission64-agent1
3J94SKDEKKOBDFPC6PA9ZT9O93L5D7,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission35-agent0,question-mission92-agent0,question-mission15-agent0,question-mission31-agent6
3D1UCPY6GI8WI56HBYB0Y4X3KGX389,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission57-agent0,question-mission93-agent0,question-mission47-agent6,question-mission6-agent1
3QGHA0EA0LZCB16COU6CU3Y1QFCWB7,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission24-agent0,question-mission94-agent0,question-mission37-agent0,question-mission10-agent0
3X52SWXE0Z4VL6YI2U275N4J80CWCE,3D92QE1HWMSG8WF05QGGIJQU99Q38H,question-mission13-agent0,question-mission95-agent0,question-mission75-agent0,question-mission54-agent0
